cod_elec,type_elec,date_elec,id_candidacies,abbrev_candidacies,name_candidacies,cod_candidacies_prov,cod_candidacies_ccaa,cod_candidacies_nat
02,congress,2016-06-26,000001,ALCD,ALIANZA DE CENTRO DEMOCRÁTICO,000001,000001,000001
02,congress,2016-06-26,000002,AND,PARTIDO SOMOS ANDALUCES POR ANDALUCÍA Y LOS PUEBLO,000002,000002,000002
02,congress,2016-06-26,000005,BNG-NÓS,BNG-NÓS CANDIDATURA GALEGA,000005,000005,000005
02,congress,2016-06-26,000007,CCA-PNC,COALICIÓN CANARIA-PARTIDO NACIONALISTA CANARIO,000007,000007,000007
02,congress,2016-06-26,000008,CCD,CIUDADANOS DE CENTRO DEMOCRÁTICO,000008,000008,000008
02,congress,2016-06-26,000009,CCD-CI,CIUDADANOS DE CENTRO DEMOCRÁTICO-CANDIDATURA INDEP,000009,000009,000009
02,congress,2016-06-26,000010,CDC,CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA,000010,000010,000010
02,congress,2016-06-26,000011,CENTRO MODERADO,LOS VERDES-ECOPACIFISTAS,000011,000011,000011
02,congress,2016-06-26,000012,CILUS,CIUDADANOS LIBRES UNIDOS,000012,000012,000012
02,congress,2016-06-26,000013,C'S,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,000013,000013,000013
02,congress,2016-06-26,000014,C'S,CIUTADANS-PARTIDO DE LA CIUDADANÍA,000014,000014,000013
02,congress,2016-06-26,000015,C'S,"CIUTADANS, PARTIDO DE LA CIUDADANÍA",000015,000014,000013
02,congress,2016-06-26,000016,EAJ-PNV,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,000016,000016,000016
02,congress,2016-06-26,000017,EB,ESCAÑOS EN BLANCO,000017,000017,000017
02,congress,2016-06-26,000018,EB,ESCANOS EN BRANCO,000018,000018,000017
02,congress,2016-06-26,000021,EB-AZ,ESCAÑOS EN BLANCO-AULKI ZURIAK,000021,000021,000017
02,congress,2016-06-26,000022,ECP,EN COMÚ PODEM-GUANYEM EL CANVI,000022,000022,000022
02,congress,2016-06-26,000023,EH BILDU,EUSKAL HERRIA BILDU,000023,000023,000023
02,congress,2016-06-26,000024,ENTABAN,ENTABAN,000024,000024,000024
02,congress,2016-06-26,000025,ERC-CATSÍ,ESQUERRA REPUBLICANA/CATALUNYA SÍ,000025,000025,000025
02,congress,2016-06-26,000027,FE,LA FALANGE,000027,000027,000027
02,congress,2016-06-26,000028,FE DE LAS J,FALANGE ESPAÑOLA DE LAS JONS,000028,000028,000028
02,congress,2016-06-26,000029,FME,LA FUERZA DE LOS MAYORES DE ESPAÑA,000029,000029,000029
02,congress,2016-06-26,000030,GBAI,GEROA BAI,000030,000030,000030
02,congress,2016-06-26,000031,HRTS-LN,HEGOALDE RIOJA-LIBERTAD NAVARRA,000031,000031,000031
02,congress,2016-06-26,000033,IMC,INICIATIVA MERINDADES DE CASTILLA,000033,000033,000033
02,congress,2016-06-26,000034,INDEPENDIEN,INDEPENDIENTES POR ARAGÓN,000034,000034,000034
02,congress,2016-06-26,000035,IZAR,IZQUIERDA ANTICAPITALISTA REVOLUCIONARIA,000035,000035,000035
02,congress,2016-06-26,000036,JXC,JUNTOS POR CANARIAS,000036,000036,000036
02,congress,2016-06-26,000038,LN,"LIBERTAD NAVARRA, LIBERTATE NAFARRA",000038,000038,000038
02,congress,2016-06-26,000039,MAS,MOVIMIENTO ARAGONÉS SOCIAL,000039,000039,000039
02,congress,2016-06-26,000041,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,000041,000041,000041
02,congress,2016-06-26,000042,PACMA,PARTIDO ANIMALISTA CONTRA O MALTRATO ANIMAL,000042,000041,000041
02,congress,2016-06-26,000043,PACMA,PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL,000043,000041,000041
02,congress,2016-06-26,000044,PCOE,PARTIDO COMUNISTA OBRERO ESPAÑOL,000044,000044,000044
02,congress,2016-06-26,000045,PCPC,PARTIDO COMUNISTA DEL PUEBLO CANARIO,000045,000045,000049
02,congress,2016-06-26,000046,PCPC,PARTIT COMUNISTA DEL POBLE DE CATALUNYA,000046,000046,000049
02,congress,2016-06-26,000047,PCPE,COMUNISTAS DA GALIZA,000047,000048,000049
02,congress,2016-06-26,000048,PCPE,COMUNISTAS DA GALIZA-PCPE,000048,000048,000049
02,congress,2016-06-26,000049,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,000049,000049,000049
02,congress,2016-06-26,000050,PCPE,PARTIT COMUNISTA DELS POBLES D'ESPANYA,000050,000049,000049
02,congress,2016-06-26,000051,PFYV,FAMILIA Y VIDA,000051,000051,000051
02,congress,2016-06-26,000052,PH,PARTIDO HUMANISTA,000052,000052,000052
02,congress,2016-06-26,000053,P-LIB,PARTIDO LIBERTARIO,000053,000053,000053
02,congress,2016-06-26,000054,PODEMOS/AHAL DUGU-IU-EQUO,UNIDOS PODEMOS/ELKARREKIN AHAL DUGU,000054,000054,000059
02,congress,2016-06-26,000055,PODEMOS-COM,COMPROMÍS-PODEMOS-EUPV: A LA VALENCIANA,000055,000055,000055
02,congress,2016-06-26,000056,PODEMOS-EN MAREA-ANOVA-EU,EN MAREA,000056,000056,000056
02,congress,2016-06-26,000057,PODEMOS-EUI,UNITS PODEM MÉS,000057,000057,000059
02,congress,2016-06-26,000059,PODEMOS-IU-EQUO,UNIDOS PODEMOS,000059,000059,000059
02,congress,2016-06-26,000060,PODEMOS-IU-,UNIDOS PODEMOS EN ALTO ARAGÓN,000060,000061,000059
02,congress,2016-06-26,000061,PODEMOS-IU-,UNIDOS PODEMOS EN ARAGÓN,000061,000061,000059
02,congress,2016-06-26,000062,PODEMOS-IU-,UNIDOS PODEMOS POR ANDALUCÍA,000062,000062,000059
02,congress,2016-06-26,000063,PODEMOS-IU-EQUO-BATZARRE,UNIDOS PODEMOS-ELKARREKIN AHAL DUGU,000063,000063,000059
02,congress,2016-06-26,000064,PODEMOS-IU-EQUO-CLIAS,UNIDOS PODEMOS,000064,000059,000059
02,congress,2016-06-26,000065,PODEMOS-IU-,UNIDOS PODEMOS/XUNÍOS PODEMOS,000065,000065,000059
02,congress,2016-06-26,000066,PODEMOS-IU-EQUO-IZCA,UNIDOS PODEMOS,000066,000059,000059
02,congress,2016-06-26,000067,PODEMOS-IU-EQUO-SEGOVIEMOS,UNIDOS PODEMOS,000067,000059,000059
02,congress,2016-06-26,000068,PP,PARTIDO POPULAR,000068,000068,000068
02,congress,2016-06-26,000069,PP,PARTIDO POPULAR/PARTIT POPULAR,000069,000068,000068
02,congress,2016-06-26,000070,PP-FORO,PARTIDO POPULAR-FORO,000070,000070,000068
02,congress,2016-06-26,000071,PP-PAR,PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGON,000071,000071,000068
02,congress,2016-06-26,000072,PREPAL,PARTIDO REGIONALISTA DEL PAÍS LEONÉS,000072,000072,000072
02,congress,2016-06-26,000074,PSC-PSOE,PARTIT DELS SOCIALISTES DE CATALUNYA,000074,000074,000077
